Date,Site,Kpar
2016-02-01,LH01_s2,0.35227954387664795
2016-02-01,LH02_s2,0.41004496812820435
2016-02-01,LH07_s2,0.4981648325920105
2016-02-01,LH10_s2,0.36243534088134766
2016-02-01,PB02_s2,NA
2016-02-01,PB03_s2,NA
2016-02-01,PB10_s2,NA
2016-02-01,PB11_s2,NA
2016-02-01,PL02_s2,NA
2016-02-01,PL03_s2,NA
2016-02-01,PL14_s2,NA
2016-02-01,PL16_s2,0.29393160343170166
2016-03-01,BP01_s2,0.3801190257072449
2016-03-01,BP02_s2,0.3414088785648346
2016-03-01,BP03_s2,0.30977559089660645
2016-03-01,BP05_s2,0.2999825179576874
2016-03-01,BP06_s2,0.34304454922676086
2016-03-01,BP08_s2,0.4151420593261719
2016-03-01,BP10_s2,0.39702314138412476
2016-03-01,BP13_s2,0.34204527735710144
2016-03-01,BP14_s2,0.4546372592449188
2016-03-01,LH01_s2,NA
2016-03-01,LH02_s2,NA
2016-03-01,LH07_s2,0.789584219455719
2016-03-01,LH10_s2,0.6017199754714966
2016-03-01,PB02_s2,NA
2016-03-01,PB03_s2,NA
2016-03-01,PB10_s2,NA
2016-03-01,PB11_s2,NA
2016-03-01,PL02_s2,NA
2016-03-01,PL03_s2,NA
2016-03-01,PL14_s2,NA
2016-03-01,PL16_s2,0.5164090991020203
2016-04-01,BP01_s2,NA
2016-04-01,BP02_s2,0.3695286512374878
2016-04-01,BP03_s2,0.23927010595798492
2016-04-01,BP05_s2,0.3261986970901489
2016-04-01,BP06_s2,0.3141061067581177
2016-04-01,BP08_s2,0.3177798390388489
2016-04-01,BP10_s2,0.32117190957069397
2016-04-01,BP13_s2,0.2908843159675598
2016-04-01,BP14_s2,0.28924059867858887
2016-04-01,LH01_s2,NA
2016-04-01,LH02_s2,0.3911685645580292
2016-04-01,LH07_s2,0.5021877288818359
2016-04-01,LH10_s2,NA
2016-04-01,PB02_s2,NA
2016-04-01,PB03_s2,NA
2016-04-01,PB10_s2,NA
2016-04-01,PB11_s2,NA
2016-04-01,PL02_s2,NA
2016-04-01,PL03_s2,NA
2016-04-01,PL14_s2,NA
2016-04-01,PL16_s2,NA
2016-05-01,BP01_s2,0.31732144951820374
2016-05-01,BP02_s2,0.4611316919326782
2016-05-01,BP03_s2,NA
2016-05-01,BP05_s2,0.36145472526550293
2016-05-01,BP06_s2,0.41221168637275696
2016-05-01,BP08_s2,0.372928261756897
2016-05-01,BP10_s2,0.3805066645145416
2016-05-01,BP13_s2,0.37985822558403015
2016-05-01,BP14_s2,0.28193846344947815
2016-05-01,LH01_s2,NA
2016-05-01,LH02_s2,NA
2016-05-01,LH07_s2,NA
2016-05-01,LH10_s2,NA
2016-05-01,PB02_s2,NA
2016-05-01,PB03_s2,NA
2016-05-01,PB10_s2,NA
2016-05-01,PB11_s2,NA
2016-05-01,PL02_s2,NA
2016-05-01,PL03_s2,NA
2016-05-01,PL14_s2,NA
2016-05-01,PL16_s2,NA
2016-06-01,BP01_s2,0.37311312556266785
2016-06-01,BP02_s2,0.3999190628528595
2016-06-01,BP03_s2,0.3462384343147278
2016-06-01,BP05_s2,0.33751946687698364
2016-06-01,BP06_s2,0.331345796585083
2016-06-01,BP08_s2,0.27032071352005005
2016-06-01,BP10_s2,0.39944928884506226
2016-06-01,BP13_s2,0.3459584712982178
2016-06-01,BP14_s2,0.3303898274898529
2016-06-01,LH01_s2,NA
2016-06-01,LH02_s2,NA
2016-06-01,LH07_s2,0.37064129114151
2016-06-01,LH10_s2,NA
2016-06-01,PB02_s2,NA
2016-06-01,PB03_s2,NA
2016-06-01,PB10_s2,NA
2016-06-01,PB11_s2,NA
2016-06-01,PL02_s2,NA
2016-06-01,PL03_s2,NA
2016-06-01,PL14_s2,NA
2016-06-01,PL16_s2,0.3546069264411926
2016-07-01,BP01_s2,NA
2016-07-01,BP02_s2,NA
2016-07-01,BP03_s2,NA
2016-07-01,BP05_s2,NA
2016-07-01,BP06_s2,0.4987233281135559
2016-07-01,BP08_s2,0.5721005201339722
2016-07-01,BP10_s2,0.4152560830116272
2016-07-01,BP13_s2,NA
